id,nick,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating 2.0,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,awp,ak47,m4a1,usp_silencer,deagle,glock,p250,sg556,mp9,mac10,m4a1_silencer,cz75a,ump45,ssg08,galilar,famas,aug,hegrenade,tec9,mp5sd,fiveseven,hkp2000,mp7,world,bizon,nova,taser,mag7,p90,smokegrenade,decoy,sawedoff,scar20,usp_silencer_off,xm1014,g3sg1,negev,knife,m4a1_silencer_off,revolver,gallil,Rating 1.0,m249,molotov,flashbang,molotov_projectile,incgrenade,zeus
7412,gla1ve,27084,46.7%,26662,1.02,75.6,6.3,1547,40600,0.67,0.17,0.66,0.10,0.08,,27084,26662,1.02,0.67,18512,K - D diff.,4216,4280,0.99,1.01,75.2%,14.3%,22088,11960,4838,1449,244,21,19206,863,2117,4364,538,43,761,9366,7878,1114,334,853,529,240,97,129,1038,581,1647,93,176,347,161,326,317,3,319,315,30,13,153,2,0,17,58,0,,0,6,0,8,3,,0,0,0,,0.99,,,1,1,,
9103,rbz,11278,48.9%,11140,1.01,73.3,4.3,647,16903,0.67,0.13,0.66,0.09,0.10,,11278,11140,1.01,0.67,7721,K - D diff.,1242,1270,0.98,0.91,70.9%,10.4%,9182,5016,1999,571,124,11,8085,166,895,1966,170,24,155,4347,2507,537,237,495,105,309,342,252,208,339,152,10,348,208,158,64,114,32,67,50,67,14,0,0,1,0,50,,,0,0,22,2,1,0,0,,0,,0.99,0,0,,,,
8396,bendji,16055,32.5%,15918,1.01,75.4,5.3,878,23318,0.69,0.14,0.68,0.10,0.10,,16055,15918,1.01,0.69,10999,K - D diff.,2352,2005,1.17,1.03,74.7%,15.2%,12319,7080,2953,811,144,11,6621,5144,729,3233,340,10,5020,4171,1243,866,402,564,310,5,130,129,928,413,431,124,39,206,29,232,437,0,221,20,34,2,0,0,0,4,5,,,0,0,0,0,0,0,0,0,,,0.99,0,,1,,,0
19232,jiaym,9343,52.6%,9592,0.97,79.4,4.2,483,13087,0.71,0.14,0.73,0.10,0.10,1.05,9343,9592,0.97,0.71,6228,K - D diff.,1635,1741,0.94,1.07,70.8%,17.9%,6859,3889,1680,548,105,6,7227,89,312,1613,102,31,78,4013,1893,448,659,314,86,254,206,90,701,7,12,4,129,220,17,56,18,2,3,73,0,15,0,0,1,2,2,,,0,0,0,11,7,,0,0,0,,,,1,,,,
4726,jaxi,8103,40.5%,7920,1.02,73.7,2.9,472,12125,0.67,0.14,0.65,0.09,0.11,,8103,7920,1.02,0.67,5590,K - D diff.,1133,1043,1.09,0.99,74.8%,13.2%,6535,3622,1505,383,78,2,4508,1494,451,1551,103,14,1473,2734,1135,473,138,284,296,0,36,113,321,235,285,20,32,282,4,45,89,3,32,4,4,0,0,0,0,12,10,,,0,0,0,0,1,0,0,,,,0.99,,,,0,,
44,barbarr,15776,42.7%,15796,1.00,74.8,3.9,876,23180,0.68,0.13,0.68,0.09,0.09,,15776,15796,1.00,0.68,10702,K - D diff.,2510,2507,1.00,1.03,72.8%,15.6%,12478,6854,2826,840,165,17,8303,2784,1510,2938,198,66,2751,4956,2342,553,370,417,441,0,190,645,398,530,596,33,98,408,101,109,217,4,85,324,27,3,5,0,0,35,43,,,0,0,0,6,0,0,0,0,,,0.99,0,,0,,,
15300,tom223,6502,44.8%,6443,1.01,74.8,3.4,362,9591,0.68,0.13,0.67,0.10,0.12,1.03,6502,6443,1.01,0.68,4469,K - D diff.,687,719,0.96,0.90,71.8%,10.5%,5122,2916,1152,325,73,3,4914,127,152,1249,76,1,117,2795,1451,270,210,227,113,8,37,36,278,335,67,10,115,237,30,36,0,6,2,92,6,0,0,0,0,0,0,,,,0,0,0,,,0,,,,,,,,0,,
12822,vini,15855,49.1%,15894,1.00,73.6,4.1,916,23835,0.67,0.13,0.67,0.10,0.09,1.04,15855,15894,1.00,0.67,10682,K - D diff.,2179,2332,0.93,0.96,74.9%,12.6%,13153,6818,2768,899,181,16,12128,185,761,2511,182,140,157,4108,1690,809,557,518,169,2603,163,134,790,185,264,15,532,479,1926,93,111,61,114,3,118,15,1,4,10,11,20,1,,0,11,0,70,2,1,0,,11,,,,0,0,0,,
14390,wood7,7740,31.4%,7467,1.04,72.5,5.8,448,11714,0.66,0.12,0.64,0.08,0.08,1.05,7740,7467,1.04,0.66,5439,K - D diff.,1145,1023,1.12,1.01,73.2%,14.1%,6275,3615,1411,357,48,8,3397,2081,914,1223,127,21,2028,1742,901,371,191,246,74,235,386,370,123,106,122,53,91,28,277,64,98,0,115,16,7,17,0,1,0,0,29,1,,1,0,0,0,0,,0,0,0,,,,,,0,,
10436,sxe,9753,43.0%,9787,1.00,74.6,3.0,558,14440,0.68,0.14,0.68,0.10,0.10,,9753,9787,1.00,0.68,6606,K - D diff.,1152,1382,0.83,0.91,73.4%,11.2%,7834,4238,1715,534,112,7,6742,194,885,1832,107,18,173,3567,1835,517,315,332,184,103,211,168,719,264,472,21,239,257,22,37,112,30,102,5,1,12,0,0,0,4,3,,,2,0,0,0,0,0,0,,,,0.99,,,0,,,
174,solo,6338,47.0%,6248,1.01,75.2,4.9,369,9364,0.68,0.12,0.67,0.08,0.08,1.04,6338,6248,1.01,0.68,4370,K - D diff.,1006,1042,0.97,1.02,75.6%,15.2%,4994,2842,1152,314,60,2,3364,1149,714,1026,62,31,1133,2229,765,379,43,217,127,0,187,169,179,206,291,1,76,67,48,21,33,25,21,0,30,1,0,0,0,4,12,,,0,15,0,20,0,,0,,0,,,,,,,,
8327,furlan,36316,53.1%,36653,0.99,76.5,5.1,2007,53363,0.68,0.14,0.69,0.10,0.09,,36316,36653,0.99,0.68,24486,K - D diff.,5876,6308,0.93,1.02,73.6%,15.7%,28877,15580,6457,2008,408,33,24762,2850,2029,6100,573,94,2680,14263,6313,2040,1011,944,1241,608,607,725,1641,521,667,156,455,778,704,340,176,5,72,76,11,31,1,9,2,25,13,0,0,3,10,0,5,4,0,0,0,0,,0.99,,1,0,0,1,
8125,dima,23782,52.5%,24309,0.98,77.4,4.0,1310,34466,0.69,0.14,0.71,0.11,0.10,,23782,24309,0.98,0.69,15920,K - D diff.,4169,4549,0.92,1.05,71.8%,16.9%,18546,10083,4169,1341,297,30,18537,225,771,3966,267,54,158,10504,5137,464,658,1011,283,57,113,60,756,49,584,43,630,1053,400,151,296,2,360,845,4,7,3,0,0,21,5,,,0,24,0,11,0,0,0,0,0,,0.99,0,,0,,0,
8726,facecrack,30508,48.3%,31189,0.98,77.8,3.2,1641,43761,0.70,0.15,0.71,0.10,0.09,,30508,31189,0.98,0.70,20385,K - D diff.,4927,5599,0.88,1.02,73.0%,15.9%,23376,12769,5528,1706,353,29,21318,277,3098,5248,306,332,253,11689,4428,1647,883,1106,284,560,784,1327,2237,201,780,19,361,773,1270,148,409,48,653,34,114,29,12,28,15,70,33,,,2,3,0,155,2,8,0,0,0,,0.99,1,0,0,1,0,
